spike	Rngerm.CD.R13.star	Rngerm.CD.R14.star	Rngerm.CD.R15.star	Rngerm.CD.R16.star	Rngerm.HFD.R10.star	Rngerm.HFD.R11.star	Rngerm.HFD.R12.star	Rngerm.HFD.R9.star
spike-in_9.5_4.75_3310	818	756	1153	1026	31904	25888	25441	21234
spike-in_9.5_4.75_3311	1098	650	749	556	29899	18096	18799	17973
spike-in_9.5_4.75_3312	582	538	670	399	18603	15748	15262	10679
spike-in_9.5_4.75_3313	956	957	1267	837	35705	23602	22022	24109
spike-in_9.5_4.75_3314	701	654	998	991	27448	23207	23644	16847
spike-in_9.5_4.75_3315	569	482	797	697	22259	15315	15973	13230
spike-in_9.5_4.75_3316	694	684	913	545	24799	17124	16442	16422
spike-in_9.5_4.75_3317	764	796	1310	1099	34501	25931	25915	20613
spike-in_9.5_4.75_3318	837	670	1045	887	32052	20201	20488	17759
spike-in_9.5_4.75_3319	869	734	1149	1054	34112	21946	22691	20890
spike-in_9.5_4.75_3320	828	687	1047	1008	32770	22704	23011	20916
spike-in_9.5_4.75_3321	706	634	1077	1072	27720	27042	22515	18482
spike-in_9.5_4.75_3322	513	521	676	589	17964	15763	16535	10450
spike-in_9.5_4.75_3323	867	717	1317	1097	35705	23602	22022	24109
spike-in_8.5_1.55_3324	353	283	369	181	1344	657	835	653
spike-in_8.5_1.55_3325	282	234	404	363	1272	751	950	812
spike-in_8.5_1.55_3326	220	199	330	288	1167	575	753	481
spike-in_8.5_1.55_3327	435	350	655	490	1872	1278	1289	1038
spike-in_8.5_1.55_3328	355	356	416	426	1680	1018	1192	790
spike-in_8.5_1.55_3329	511	398	512	454	1885	1177	1377	1079
spike-in_8.5_1.55_3330	532	377	495	316	1844	1199	1137	924
spike-in_8.5_1.55_3331	415	328	441	329	1566	978	958	935
spike-in_8.5_1.55_3332	430	320	535	571	1859	1177	1338	1068
spike-in_8.5_1.55_3333	322	294	450	332	1446	1013	899	869
spike-in_8.5_1.55_3334	282	307	409	524	1506	1142	911	1013
spike-in_8.5_1.55_3335	462	369	519	555	2037	1260	1198	1267
spike-in_8.5_1.55_3336	273	348	448	313	1432	914	890	760
spike-in_8.5_1.55_3337	397	327	593	410	1662	1124	1105	1164
spike-in_8.5_1.55_3338	217	234	416	412	1310	722	857	821
spike-in_8.5_1.55_3339	321	272	542	436	1617	1032	1074	964
spike-in_8.5_1.55_3340	706	342	353	231	1593	1141	1050	1042
spike-in_8.5_1.55_3341	299	259	457	386	1332	959	833	895
spike-in_8.5_1.55_3342	231	210	328	282	1042	667	706	686
spike-in_8.5_1.55_3343	347	279	427	424	1346	972	1019	934
spike-in_8.5_1.55_3344	359	407	686	271	1682	1035	1305	922
spike-in_8.5_1.55_3345	410	325	446	519	1652	1132	1069	1204
spike-in_8.5_1.55_3346	319	267	419	437	1419	964	859	892
spike-in_8.5_1.55_3347	420	318	511	393	1612	1016	1037	1017
spike-in_8.5_1.55_3348	486	366	601	380	1952	1144	1154	1208
spike-in_8.5_1.55_3349	437	376	412	272	1501	927	919	1040
spike-in_8.5_1.55_3350	296	271	453	422	1390	962	818	920
spike-in_8.5_1.55_3351	308	387	289	201	1213	814	746	756
spike-in_8.5_1.55_3352	136	604	303	417	1382	902	1024	830
spike-in_8.5_1.55_3353	424	412	540	559	2017	1429	1268	1125
spike-in_8.5_1.55_3354	281	324	457	536	1728	871	1052	972
spike-in_8.5_1.55_3355	318	288	485	390	1475	1061	815	851
spike-in_8.5_1.55_3356	202	231	336	278	1082	635	692	678
spike-in_8.5_1.55_3357	318	206	436	269	1204	854	908	747
spike-in_8.5_1.55_3358	389	351	571	553	1894	1198	1372	1081
spike-in_8.5_1.55_3359	364	303	500	503	1700	1104	1092	1011
spike-in_8.5_1.55_3360	350	207	375	223	1296	643	761	701
spike-in_8.5_1.55_3361	220	266	378	403	1294	773	940	835
spike-in_5.5_3.05_3362	37	44	41	23	427	270	305	254
spike-in_5.5_3.05_3363	32	30	52	39	489	331	315	201
spike-in_5.5_3.05_3364	48	21	32	34	362	214	288	298
spike-in_5.5_3.05_3365	29	45	48	46	320	436	195	493
spike-in_5.5_3.05_3366	44	30	27	24	399	239	237	224
spike-in_5.5_3.05_3367	54	44	18	36	484	249	362	202
spike-in_5.5_3.05_3368	51	31	60	74	634	507	302	386
spike-in_5.5_3.05_3369	34	34	31	40	461	258	262	231
spike-in_5.5_3.05_3370	60	32	32	24	431	284	254	299
spike-in_5.5_3.05_3371	50	28	52	38	500	277	395	255
spike-in_5.5_3.05_3372	44	61	59	74	709	488	432	380
spike-in_5.5_3.05_3373	61	57	57	43	650	438	388	413
spike-in_5.5_3.05_3374	15	26	49	54	418	285	286	229
spike-in_5.5_3.05_3375	36	44	49	24	470	237	393	165
spike-in_5.5_3.05_3376	58	42	52	53	624	358	373	405
spike-in_5.5_3.05_3377	32	30	52	39	436	306	335	240
spike-in_5.5_3.05_3378	34	28	51	36	447	259	268	276
spike-in_5.5_3.05_3379	32	29	39	35	445	238	229	208
spike-in_5.5_3.05_3380	38	39	52	42	480	254	502	216
spike-in_5.5_3.05_3381	68	32	69	66	627	452	436	426
spike-in_5.5_3.05_3382	17	26	34	60	407	247	265	236
spike-in_5.5_3.05_3383	41	30	36	28	396	261	277	237
spike-in_5.5_3.05_3384	30	42	61	46	506	382	410	258
spike-in_5.5_3.05_3385	28	21	59	60	496	295	341	324
spike-in_5.5_3.05_3386	45	48	66	36	605	365	301	403
spike-in_5.5_3.05_3387	23	20	90	30	444	324	353	300
spike-in_5.5_3.05_3388	28	23	63	55	416	395	297	349
spike-in_10.5_4.35_3389	1264	1164	1547	885	31723	24261	23836	19937
spike-in_10.5_4.35_3390	1107	947	1535	1442	34142	23105	22595	22543
spike-in_10.5_4.35_3391	1767	1198	1333	971	29817	29922	28015	19061
spike-in_10.5_4.35_3392	1556	1295	2129	1464	39128	34276	31492	27843
spike-in_10.5_4.35_3393	1159	1032	1630	1353	34614	23812	23927	23192
spike-in_10.5_4.35_3394	2064	1529	1911	1498	46327	31299	31487	29285
spike-in_10.5_4.35_3395	1025	959	1285	863	27422	18262	19779	16658
spike-in_10.5_4.35_3396	1794	1521	2312	1422	45573	33199	34074	29055
spike-in_10.5_4.35_3397	1314	1061	1137	916	30077	20232	19950	18877
spike-in_9.5_0.35_3398	456	619	672	800	992	861	915	551
spike-in_9.5_0.35_3399	830	757	1216	998	1563	1083	1061	1068
spike-in_9.5_0.35_3400	564	460	805	829	1140	770	682	725
spike-in_9.5_0.35_3401	700	614	1161	884	1474	922	1035	957
spike-in_9.5_0.35_3402	836	719	988	780	1360	839	967	1020
spike-in_9.5_0.35_3403	828	687	1047	1008	1936	765	1238	771
spike-in_9.5_0.35_3404	733	590	1124	1184	1799	819	1365	749
spike-in_9.5_0.35_3405	621	556	648	622	749	987	877	499
spike-in_9.5_0.35_3406	822	801	1043	679	1525	870	1055	918
spike-in_9.5_0.35_3407	623	570	950	860	1313	962	882	783
spike-in_9.5_0.35_3408	525	532	804	716	1155	820	820	482
spike-in_9.5_0.35_3409	695	531	629	436	920	650	678	623
spike-in_9.5_0.35_3410	726	640	874	896	1350	1115	956	673
spike-in_9.5_0.35_3411	493	428	650	536	945	574	617	467
spike-in_9.5_0.35_3412	751	718	1215	1197	1496	1114	1159	1096
spike-in_9.5_0.35_3413	731	628	998	695	1401	861	892	867
spike-in_9.5_0.35_3414	570	475	814	735	1123	790	810	644
spike-in_9.5_0.35_3415	593	596	996	1127	1437	876	913	968
spike-in_9.5_0.35_3416	457	452	595	641	886	602	614	578
spike-in_9.5_0.35_3417	856	579	843	684	1298	917	868	727
spike-in_9.5_0.35_3418	706	661	964	865	1464	866	829	834
spike-in_9.5_0.35_3419	610	472	728	678	1100	720	688	690
spike-in_9.5_0.35_3420	565	452	739	653	934	782	726	640
spike-in_9.5_0.35_3421	946	558	1040	997	1475	1055	1004	1052
spike-in_9.5_0.35_3422	445	466	702	807	1090	673	765	477
spike-in_9.5_0.35_3423	716	621	1002	1163	1409	982	1048	937
spike-in_9.5_0.35_3424	769	678	941	893	1366	849	1077	774
spike-in_9.5_0.35_3425	672	693	948	477	1057	756	805	867
spike-in_9.5_0.35_3426	660	604	954	830	1311	852	852	831
spike-in_9.5_0.35_3427	844	806	1128	989	1640	1099	947	1043
spike-in_9.5_0.35_3428	474	470	745	715	984	595	781	641
spike-in_9.5_0.35_3429	670	601	925	875	1357	756	943	774
spike-in_9.5_0.35_3430	973	713	893	453	1443	777	1020	580
spike-in_9.5_0.35_3431	808	771	953	841	1480	977	1021	840
spike-in_9.5_0.35_3432	606	537	932	1018	1463	756	1024	661
spike-in_9.5_0.35_3433	715	686	964	781	1416	752	931	876
spike-in_9.5_0.35_3434	659	600	1055	884	1335	899	922	812
spike-in_9.5_0.35_3435	599	516	829	799	1301	729	967	590
spike-in_9.5_0.35_3436	631	597	729	527	1111	751	723	643
spike-in_9.5_0.35_3437	809	675	872	421	1194	697	974	766
spike-in_9.5_0.35_3438	609	403	892	745	961	868	950	595
spike-in_9.5_0.35_3439	715	632	1081	1040	1504	938	1143	944
spike-in_9.5_0.35_3440	770	524	749	527	1308	631	919	504
spike-in_9.5_0.35_3441	819	17	32	1514	967	719	686	689
spike-in_9.5_0.35_3442	762	654	798	918	1382	881	914	792
spike-in_9.5_0.35_3443	432	451	655	569	934	532	613	603
spike-in_9.5_0.35_3444	838	790	1102	1171	1743	1156	1044	1190
spike-in_9.5_0.35_3445	928	762	1442	892	1687	1283	1358	681
spike-in_9.5_0.35_3446	793	651	892	694	1253	1139	895	655
spike-in_12.5_2.35_3447	4376	4476	7191	6348	39861	26163	25014	25112
spike-in_12.5_2.35_3448	4024	3585	6145	5083	30183	21927	23706	17579
spike-in_12.5_2.35_3449	3790	3289	5382	3982	29365	19301	19894	18225
spike-in_12.5_2.35_3450	6309	4862	5575	4494	36482	26039	26882	21363
spike-in_12.5_2.35_3451	5338	4472	7429	5231	39395	26442	27173	24591
spike-in_12.5_2.35_3452	4718	4001	6645	5278	31904	25888	25441	21234
spike-in_12.5_2.35_3453	4134	3481	5048	3966	27527	19884	20757	16036
spike-in_10.5_2.35_3454	1325	1215	1610	1043	8652	6177	6401	4708
spike-in_10.5_2.35_3455	897	678	1380	1247	7658	4432	5167	4194
spike-in_10.5_2.35_3456	1410	1333	2265	1880	10093	9348	8839	6376
spike-in_10.5_2.35_3457	1019	871	1473	1367	8296	5556	5775	5139
spike-in_10.5_2.35_3458	1112	903	1829	2250	10068	6580	7024	6558
spike-in_10.5_2.35_3459	1383	1216	1877	1122	10185	6419	6616	6174
spike-in_10.5_2.35_3460	1454	1204	2168	1868	10912	7977	9170	6333
spike-in_10.5_2.35_3461	902	871	1374	1357	8696	4192	5773	4744
spike-in_10.5_2.35_3462	1131	1025	1472	1335	8293	5763	5815	4823
spike-in_10.5_2.35_3463	911	858	1345	1130	7065	4575	4927	4479
spike-in_10.5_2.35_3464	1021	950	1283	1235	7611	4950	5941	4117
spike-in_10.5_2.35_3465	1172	1088	1479	1161	8546	5230	5667	5559
spike-in_10.5_2.35_3466	1445	1359	2102	1579	10509	7319	8117	6602
spike-in_10.5_2.35_3467	1047	1002	1708	1533	8697	6679	7135	4676
spike-in_10.5_2.35_3468	997	869	1906	1739	9233	5937	6625	5966
spike-in_10.5_2.35_3469	1527	1133	1563	1141	9622	6238	6447	5915
spike-in_10.5_2.35_3470	1230	1068	1837	1389	9402	6069	6160	6124
spike-in_10.5_2.35_3471	1076	925	1203	941	7223	4408	4918	4114
spike-in_10.5_2.35_3472	1038	1114	1938	1154	9718	5669	5854	5698
spike-in_10.5_2.35_3473	1467	1259	2103	2091	12562	8070	9418	5808
spike-in_10.5_2.35_3474	1497	1419	2402	2294	12839	8347	7691	8691
spike-in_10.5_2.35_3475	1506	1436	2418	2211	13116	7937	8853	8092
spike-in_10.5_2.35_3476	1613	1488	2180	1919	10731	10106	9668	6155
spike-in_10.5_2.35_3477	1928	1756	2341	1614	11355	10085	10132	6590
spike-in_10.5_2.35_3478	963	841	1710	1370	8043	5235	5650	5383
spike-in_10.5_2.35_3479	1011	905	1517	1184	8292	4689	5352	4587
spike-in_10.5_2.35_3480	1512	1054	1267	967	8417	5113	5161	6081
spike-in_10.5_2.35_3481	1526	1654	2083	2187	12810	8143	8591	8284
spike-in_10.5_2.35_3482	902	871	1374	1357	7666	5233	4854	4793
spike-in_10.5_2.35_3483	798	862	1582	994	6531	5389	5373	3586
spike-in_8.5_4.85_3484	417	210	336	344	12141	8485	8324	8268
spike-in_8.5_4.85_3485	333	297	501	453	15205	10481	10368	9828
spike-in_8.5_4.85_3486	190	323	320	199	10146	6618	7070	6654
spike-in_8.5_4.85_3487	300	295	297	226	10326	7627	7179	6591
spike-in_8.5_4.85_3488	237	224	416	349	11810	7478	7733	7320
spike-in_8.5_4.85_3489	357	327	577	645	17503	12826	13151	10180
spike-in_8.5_4.85_3490	292	280	412	413	13893	8632	8496	8337
spike-in_8.5_4.85_3491	210	178	290	375	10064	6674	7066	6510
spike-in_8.5_4.85_3492	277	246	338	294	11158	7615	7313	6898
spike-in_8.5_4.85_3493	238	200	320	406	10847	7680	7135	6875
spike-in_8.5_4.85_3494	284	253	462	375	13307	8590	8768	8326
spike-in_8.5_4.85_3495	358	279	388	420	11841	11146	11355	7586
spike-in_8.5_4.85_3496	507	401	496	353	16448	12226	12850	10128
spike-in_8.5_4.85_3497	321	352	515	492	15771	10656	11452	9129
spike-in_8.5_4.85_3498	285	264	414	403	11380	9916	9824	7674
spike-in_7.5_2.25_3499	256	187	270	177	1419	964	859	892
spike-in_7.5_2.25_3500	97	81	177	195	860	554	764	464
spike-in_7.5_2.25_3501	125	124	160	170	1023	557	741	439
spike-in_7.5_2.25_3502	279	201	216	206	1456	866	1068	919
spike-in_7.5_2.25_3503	142	99	185	166	865	698	582	637
spike-in_7.5_2.25_3504	157	147	213	264	1304	749	826	751
spike-in_7.5_2.25_3505	278	175	307	205	1732	951	1029	998
spike-in_7.5_2.25_3506	144	106	173	155	932	615	666	599
spike-in_7.5_2.25_3507	351	287	126	169	1574	951	986	877
spike-in_7.5_2.25_3508	177	129	183	136	1111	602	635	555
spike-in_7.5_2.25_3509	351	142	197	210	1489	907	984	935
spike-in_7.5_2.25_3510	118	132	172	117	866	539	678	581
spike-in_7.5_2.25_3511	160	124	191	190	1047	773	733	694
spike-in_7.5_2.25_3512	255	147	312	274	1704	969	1218	987
spike-in_7.5_2.25_3513	210	145	274	244	1360	945	1068	813
spike-in_7.5_2.25_3514	173	160	261	258	1428	907	943	862
spike-in_7.5_2.25_3515	158	102	280	280	1321	775	966	892
spike-in_7.5_2.25_3516	168	176	304	326	1549	1012	1086	911
spike-in_7.5_2.25_3517	180	157	314	242	1237	963	1125	848
spike-in_7.5_2.25_3518	202	222	209	152	1270	788	919	650
spike-in_7.5_2.25_3519	187	165	272	113	1287	758	885	699
spike-in_7.5_2.25_3520	270	177	289	186	1523	975	1027	834
spike-in_7.5_2.25_3521	147	101	173	142	909	638	571	593
spike-in_7.5_2.25_3522	114	122	211	174	981	677	670	580
spike-in_7.5_2.25_3523	135	97	202	123	893	554	603	560
spike-in_7.5_2.25_3524	232	173	232	127	1294	777	1053	628
spike-in_7.5_2.25_3525	130	120	182	106	848	563	630	531
spike-in_7.5_2.25_3526	168	134	211	228	1378	616	953	627
spike-in_7.5_2.25_3527	159	149	280	226	1300	895	860	874
spike-in_7.5_2.25_3528	251	183	333	240	1713	1181	1098	946
spike-in_7.5_2.25_3529	179	132	150	165	1038	686	667	591
spike-in_7.5_2.25_3530	77	113	194	163	782	742	568	534
spike-in_7.5_2.25_3531	115	106	169	160	861	594	523	640
spike-in_7.5_2.25_3532	183	88	248	160	1169	702	698	656
spike-in_7.5_2.25_3533	144	146	211	174	1165	572	787	594
spike-in_7.5_2.25_3534	123	101	125	182	951	531	592	441
spike-in_7.5_2.25_3535	108	119	191	221	982	686	674	720
spike-in_7.5_2.25_3536	126	96	212	209	1167	575	753	481
spike-in_7.5_2.25_3537	196	175	186	111	1168	681	733	614
spike-in_7.5_2.25_3538	89	136	184	193	1166	542	734	538
spike-in_7.5_2.25_3539	201	174	253	117	1242	791	715	745
spike-in_7.5_2.25_3540	204	216	310	188	1614	986	1065	865
spike-in_7.5_2.25_3541	103	123	154	151	919	523	634	541
spike-in_7.5_2.25_3542	208	188	189	187	1235	846	848	780
spike-in_7.5_2.25_3543	115	108	159	172	894	561	566	573
spike-in_7.5_2.25_3544	166	152	223	191	1262	740	716	740
spike-in_7.5_2.25_3545	94	98	152	176	873	511	679	415
spike-in_7.5_2.25_3546	95	102	135	184	864	592	490	573
spike-in_7.5_2.25_3547	135	150	202	157	1186	629	652	525
spike-in_11.5_2.75_3548	1881	1713	2574	2066	18416	12124	12521	10723
spike-in_11.5_2.75_3549	2877	2530	4460	3683	29157	22933	22263	19214
spike-in_11.5_2.75_3550	2934	2626	2831	1822	21600	15685	15028	14172
spike-in_11.5_2.75_3551	2479	2083	3600	2787	23009	18332	18445	13795
spike-in_11.5_2.75_3552	3776	2712	3156	2211	27085	17240	18111	17336
spike-in_11.5_2.75_3553	2129	2044	2796	2699	19486	17114	16643	13837
spike-in_11.5_2.75_3554	3109	2807	4905	3906	31795	23879	22337	22417
spike-in_11.5_2.75_3555	2096	1977	3070	2813	21724	16628	17254	12969
spike-in_11.5_2.75_3556	2704	2253	2149	1853	18326	15125	14903	11192
spike-in_8.5_2.05_3557	505	385	437	364	2414	1573	1645	1532
spike-in_8.5_2.05_3558	335	244	475	461	2117	1468	1384	1399
spike-in_8.5_2.05_3559	296	246	457	569	2210	1486	1533	1391
spike-in_8.5_2.05_3560	279	279	362	228	1614	1027	1141	1013
spike-in_8.5_2.05_3561	347	341	540	478	2472	1461	1774	1367
spike-in_8.5_2.05_3562	303	306	506	528	2086	1658	1931	1336
spike-in_8.5_2.05_3563	503	436	461	416	2607	1763	1694	1641
spike-in_8.5_2.05_3564	280	290	359	328	1820	1144	1104	1117
spike-in_8.5_2.05_3565	321	283	322	345	1819	1238	1216	1089
spike-in_8.5_2.05_3566	315	357	530	478	2291	1702	1716	1448
spike-in_8.5_2.05_3567	466	411	674	436	2625	1655	1945	1824
spike-in_8.5_2.05_3568	292	292	452	573	2316	1293	1647	1234
spike-in_8.5_2.05_3569	307	250	307	160	1437	1004	979	866
spike-in_8.5_2.05_3570	278	288	325	323	1813	1106	967	1183
spike-in_8.5_2.05_3571	350	342	348	291	2063	1016	1564	947
spike-in_8.5_2.05_3572	270	250	474	499	2199	1432	1369	1355
spike-in_8.5_2.05_3573	216	237	368	376	1750	962	1101	1005
spike-in_8.5_2.05_3574	420	328	583	460	2505	1850	1526	1690
spike-in_8.5_2.05_3575	455	326	555	461	2536	1734	1763	1599
spike-in_8.5_2.05_3576	245	246	301	286	1214	1573	995	778
spike-in_8.5_2.05_3577	227	223	375	520	1885	1177	1377	1079
spike-in_8.5_2.05_3578	466	470	645	407	2588	1815	1781	1851
spike-in_8.5_2.05_3579	396	300	602	322	2385	1407	1597	1434
spike-in_8.5_2.05_3580	207	215	369	362	1661	1137	986	1008
spike-in_8.5_2.05_3581	418	383	476	313	2258	1449	1538	1430
spike-in_8.5_2.05_3582	228	186	370	366	1809	874	1231	809
spike-in_8.5_2.05_3583	410	379	584	458	2734	1687	1711	1627
spike-in_8.5_2.05_3584	418	361	647	611	2978	1754	1912	1698
spike-in_8.5_2.05_3585	210	194	336	311	1700	777	1035	842
spike-in_8.5_2.05_3586	421	398	328	343	2355	1152	1689	1132
spike-in_8.5_2.05_3587	326	306	509	367	2251	1316	1657	1215
spike-in_8.5_2.05_3588	308	317	520	529	2401	1467	1698	1431
spike-in_8.5_2.05_3589	294	300	456	426	2245	1343	1421	1218
spike-in_8.5_2.05_3590	253	191	349	310	1518	973	1279	869
spike-in_8.5_2.05_3591	305	282	479	407	2099	1345	1364	1349
spike-in_8.5_2.05_3592	462	320	635	496	2512	1872	1889	1609
spike-in_8.5_2.05_3593	521	445	576	471	2620	1854	1893	1717
spike-in_8.5_2.05_3594	406	353	597	444	2215	2129	1907	1349
spike-in_8.5_2.05_3595	307	276	483	361	1953	1228	1237	1435
spike-in_8.5_2.05_3596	275	158	359	292	1490	977	1026	860
spike-in_5.5_4.95_3597	32	37	70	43	1783	1441	1315	1224
spike-in_5.5_4.95_3598	57	18	63	55	2048	1323	1362	1260
spike-in_5.5_4.95_3599	33	25	28	44	1354	859	984	881
spike-in_5.5_4.95_3600	50	43	73	68	2504	1560	1574	1487
spike-in_5.5_4.95_3601	58	26	46	60	1899	1529	1426	1289
spike-in_5.5_4.95_3602	62	50	55	68	2591	1460	1899	1270
spike-in_5.5_4.95_3603	26	14	38	47	1432	802	981	839
spike-in_5.5_4.95_3604	48	40	75	54	2604	1353	1783	984
spike-in_5.5_4.95_3605	24	29	48	31	1390	976	954	891
spike-in_5.5_4.95_3606	60	40	54	36	2017	1429	1268	1125
spike-in_5.5_4.95_3607	32	44	58	30	1628	1104	1288	997
spike-in_5.5_4.95_3608	45	56	56	66	2387	1534	1498	1530
spike-in_5.5_4.95_3609	38	43	29	16	1428	907	943	862
spike-in_5.5_4.95_3610	54	37	74	72	2584	1691	1900	1491
spike-in_5.5_4.95_3611	29	27	51	37	1444	1143	1022	1021
spike-in_5.5_4.95_3612	65	50	44	54	2111	1706	1778	1292
spike-in_5.5_4.95_3613	57	54	56	68	2640	1258	1946	1356
spike-in_5.5_4.95_3614	36	19	41	45	1515	985	997	927
spike-in_5.5_4.95_3615	23	28	42	44	1371	1093	1231	810
spike-in_5.5_4.95_3616	25	29	31	40	1369	913	989	619
spike-in_5.5_4.95_3617	59	39	68	79	2767	1663	2015	1476
spike-in_5.5_4.95_3618	50	33	60	54	2353	1256	1665	1126
spike-in_5.5_4.95_3619	30	21	50	45	1690	761	1323	706
spike-in_5.5_4.95_3620	59	32	56	46	2016	1331	1478	1224
spike-in_5.5_4.95_3621	29	26	45	47	1619	1034	1099	772
spike-in_5.5_4.95_3622	59	58	68	43	2439	1682	1581	1642
spike-in_5.5_4.95_3623	29	45	48	46	1981	1030	1367	1100
spike-in_5.5_4.95_3624	42	31	64	69	1962	1650	1603	1300
spike-in_5.5_4.95_3625	36	39	39	11	1412	923	877	823
spike-in_5.5_4.95_3626	71	48	67	62	2669	1727	1698	1551
spike-in_5.5_4.95_3627	53	59	74	65	2208	2196	2056	1233
spike-in_5.5_4.95_3628	56	45	47	68	2397	1482	1653	1454
spike-in_5.5_4.95_3629	51	52	41	36	1991	1273	1280	1225
spike-in_5.5_4.95_3630	32	46	59	104	2492	1789	1798	1629
spike-in_5.5_4.95_3631	30	26	28	43	1432	802	981	839
spike-in_5.5_4.95_3632	30	28	32	63	1797	980	1210	891
spike-in_5.5_4.95_3633	45	44	50	32	1737	1372	1340	1146
spike-in_5.5_4.95_3634	33	48	92	76	2654	1844	1745	1788
spike-in_5.5_4.95_3635	25	34	60	79	1977	1371	1397	1334
spike-in_5.5_4.95_3636	57	38	58	51	2166	1371	1467	1317
spike-in_5.5_4.95_3637	44	32	49	59	2021	1374	1299	1175
spike-in_5.5_4.95_3638	48	31	64	51	2162	1224	1335	1300
spike-in_5.5_4.95_3639	46	36	30	37	1585	1015	1131	970
spike-in_5.5_4.95_3640	38	39	57	62	2144	1115	1463	1360
spike-in_5.5_4.95_3641	40	35	49	40	1747	1144	1224	1063
spike-in_5.5_4.95_3642	25	40	43	30	1532	984	1076	930
spike-in_5.5_4.95_3643	33	47	30	24	1344	1109	995	927
spike-in_9.5_4.65_3644	528	456	780	758	20529	16452	17012	11648
spike-in_9.5_4.65_3645	516	378	735	497	17569	11767	12376	10599
spike-in_9.5_4.65_3646	825	681	1274	962	29157	22933	22263	19214
spike-in_9.5_4.65_3647	680	634	986	988	29441	18538	19668	17838
spike-in_9.5_4.65_3648	452	386	732	684	19093	12837	12578	12878
spike-in_9.5_4.65_3649	445	394	732	648	18970	12499	12320	12725
spike-in_9.5_4.65_3650	601	577	1029	1077	27152	17703	18173	17363
spike-in_8.5_0.85_3651	424	412	540	559	1378	616	953	627
spike-in_8.5_0.85_3652	376	287	498	528	1124	615	797	528
spike-in_8.5_0.85_3653	346	348	302	249	825	453	583	373
spike-in_8.5_0.85_3654	326	273	461	326	829	584	565	515
spike-in_8.5_0.85_3655	406	353	597	444	1054	679	728	737
spike-in_8.5_0.85_3656	374	272	336	187	706	488	457	449
spike-in_8.5_0.85_3657	261	241	441	365	873	558	466	502
spike-in_8.5_0.85_3658	478	400	535	367	1048	783	731	674
spike-in_8.5_0.85_3659	264	212	334	255	689	418	380	371
spike-in_8.5_0.85_3660	340	376	567	588	1015	852	762	783
spike-in_8.5_0.85_3661	383	339	627	559	1163	589	983	722
spike-in_8.5_0.85_3662	218	247	403	283	625	569	548	351
spike-in_8.5_0.85_3663	478	398	576	430	1181	744	733	798
spike-in_8.5_0.85_3664	459	348	639	551	1235	879	692	771
spike-in_8.5_0.85_3665	215	290	424	402	857	484	565	564
spike-in_8.5_0.85_3666	369	266	460	427	955	630	626	507
spike-in_8.5_0.85_3667	248	258	429	351	749	713	510	361
spike-in_8.5_0.85_3668	300	287	477	461	1003	535	701	577
spike-in_8.5_0.85_3669	239	213	341	397	739	432	505	461
spike-in_8.5_0.85_3670	265	268	451	490	901	562	700	551
spike-in_8.5_0.85_3671	474	442	603	478	1222	768	898	778
spike-in_8.5_0.85_3672	257	304	511	705	1049	702	572	834
spike-in_8.5_0.85_3673	260	211	363	445	741	539	539	483
spike-in_8.5_0.85_3674	418	383	476	313	937	719	773	522
spike-in_8.5_0.85_3675	361	329	445	325	861	594	523	640
spike-in_8.5_0.85_3676	229	194	319	307	627	392	415	407
spike-in_8.5_0.85_3677	343	304	398	356	951	531	592	441
spike-in_8.5_0.85_3678	288	234	506	438	908	583	552	528
spike-in_8.5_0.85_3679	282	205	355	344	808	437	566	382
spike-in_8.5_0.85_3680	272	253	374	249	708	510	499	419
spike-in_8.5_0.85_3681	384	486	614	520	1317	746	762	836
spike-in_8.5_0.85_3682	339	294	473	515	1150	580	781	510
spike-in_8.5_0.85_3683	290	262	433	454	859	623	607	487
spike-in_8.5_0.85_3684	253	173	388	401	660	472	483	515
spike-in_8.5_0.85_3685	410	325	446	519	1136	578	827	549
spike-in_8.5_0.85_3686	539	406	541	296	976	808	770	674
spike-in_8.5_0.85_3687	425	439	480	280	969	605	735	595
spike-in_8.5_0.85_3688	334	250	467	336	840	639	544	562
spike-in_8.5_0.85_3689	408	323	626	558	1015	852	762	783
spike-in_8.5_0.85_3690	454	378	607	508	1326	803	1072	231
spike-in_8.5_0.85_3691	308	317	520	529	1071	694	656	622
spike-in_5.5_2.95_3692	54	49	36	35	507	342	247	240
spike-in_5.5_2.95_3693	28	57	44	86	602	401	368	330
spike-in_5.5_2.95_3694	28	21	42	37	311	253	227	196
spike-in_5.5_2.95_3695	30	26	54	36	394	271	253	225
spike-in_5.5_2.95_3696	50	36	42	72	473	290	367	400
spike-in_5.5_2.95_3697	35	24	56	33	407	239	314	173
spike-in_5.5_2.95_3698	37	38	72	63	555	367	362	326
spike-in_5.5_2.95_3699	42	34	79	86	660	363	449	416
spike-in_5.5_2.95_3700	40	41	49	45	455	311	355	288
spike-in_5.5_2.95_3701	43	40	56	27	450	291	323	285
spike-in_5.5_2.95_3702	36	15	50	48	421	244	249	246
spike-in_5.5_2.95_3703	37	27	46	49	439	326	253	243
spike-in_5.5_2.95_3704	8	22	56	49	367	222	233	239
spike-in_5.5_2.95_3705	32	46	59	104	787	325	497	274
spike-in_5.5_2.95_3706	35	40	30	50	436	241	238	268
spike-in_5.5_2.95_3707	41	30	86	62	573	422	405	356
spike-in_5.5_2.95_3708	48	41	69	40	459	374	344	334
